manufacturer,shortTitle,shortDescription,nettoprice,bruttoprice,images,category
JABLOTRON ALARMS a.s.,JS-22,Detektor pohybu osob je určen k prostorové ochraně objektů. Použitím dvou snímačů je dosažena vyšší odolnost proti aktivaci pohybem domácích zvířat.,697,843,https://www.stasanet.cz/out/pictures/master/1/5728BB9D-B5CD-41DB-82E8-1B68293AE997__JS-22.jpg,Detektory | Drátové prvky příslušenství | EZS Alarmy Jablotron
,4FN 231 09.5,Modul 4 modulového jmenovníku 2-BUS KARAT INOX,1050,1271,https://www.stasanet.cz/out/pictures/master/1/83668573-B72F-42DE-BDDD-498AD687A409__4FN-231-09.5.jpg,Moduly | Dveřní stanice KARAT-INOX | Digitální systém videotelefonů | Tesla Stropkov | Domovní telefony
LAN-TEC,KJ-012 RPD/C5/S,Keyston KJ-012 RPD CAT 5e stíněný je určen pro montáž do modulárních zásuvek a patch panelů.,540,653,https://www.stasanet.cz/out/pictures/master/1/88CA5FA7-6C9F-4543-A673-53D885D5D849__KJ-012-RPD-C5-S.jpg,Keystony | Metalická kabeláž | SKS Strukturovaná kabeláž
2N TELEKOMUNIKACE,9137161CKU,Helios IP Vario je dveřní interkom pro provoz v IP prostředí za pomoci protokolu SIP. Verze 3x2 tlačítka + kamera +klávesnice,23140,27999,https://www.stasanet.cz/out/pictures/master/1/D2A0F82A-20D2-47E8-B70E-5BE6CFAF6FF0__2n-helios-ip-vario_3x2-tlacitka-kamera-klavesnice.jpg,IP s kamerou | Helios IP Vario | 2N Interkomy | Domovní telefony
HikVision,DS-7632NI-I2,32 kan. 4K NVR pro IP kamery (256Mb/256Mb); H.265+; HDMI,10258,12412,https://www.stasanet.cz/out/pictures/master/1/0ED88E8F-4F54-4001-86A3-64A101CA3368__DS-76xxNI-I2.jpg,32-kanálové | Záznamová zařízení | IP Hikvision | IP kamerové systémy | Kamerové systémy
Paradox,C705,Bezkontaktní klíčenka pro čtečky výrobce PARADOX. Barevné varianty: modrá / červená / černá / zelená,119,144,https://www.stasanet.cz/out/pictures/master/1/CE5CE927-0E89-4B46-8752-E3318E767F57__C705_m.jpg,Nadstavba ACESS | Systém DIGIPLEX EVO | EZS Paradox a ostatní
VAR-TEC,DWB 2-57,Infrabariéra o délce 57 cm se dvěma paprsky. Dodávaná v bílém nebo černém provedení.,1760,2130,https://www.stasanet.cz/out/pictures/master/1/8A62F956-47D3-4F66-91FC-59ADB732EAE0__DWB-2-57.jpg,Infrabariéry | Venkovní detekce | EZS Paradox a ostatní
Estelar,FT500M-TCP,"Bezkontaktní MIFARE/DESFire, ETHERNET rozhraní (možnost PoE nápájení - nutno zadat při objednávce).",17900,21659,https://www.stasanet.cz/out/pictures/master/1/F07C440C-713D-4FA0-AC2A-8606BBD572AA__FT500B-TCP.jpg,Bezkontaktní | Docházkové terminály | ACS Docházkové systémy
ASSA ABLOY,3640/1/92,"286313003003330, 3640/1/92 MECHAN.PK SMART-CERN",4480,5421,https://www.stasanet.cz/out/pictures/master/1/0A4C9F6B-7496-4D0E-9667-ACB0A6485487__3640-1-92.jpg,Panikové hrazdy | Uzamykací systémy
JOB-Detecomat,BB 32,"Karta 32 výstupů, připojuje se k BB CPU. Max. počet karet 8 ks (256 výstupů).",4125,4991,https://www.stasanet.cz/out/pictures/master/1/9DE9E881-B482-4560-98B3-9000C529EEF2__bb_32_1.jpg,Spojení ústředen do sítě | Adresovatelné systémy | EPS Požární ochrana
HikVision,iDS-7204HUHI-K1/4S,4-kanálový TurboHD rekordér; 4x AcuSense,4439,5371,https://www.stasanet.cz/out/pictures/master/1/A20135E9-7932-4256-862C-BD09FE9753F1__DS-72xxHUHI-K1.jpg,4-kanálové | Záznamová zařízení | HD TVI Hikvision (Turbo HD) | HD Analogové systémy | Kamerové systémy
JOB-Detecomat,DETECT 3004 +,"ústředna EPS pro hlásiče řady 3000, možnost doplnění až 4 smyček; provedení skříň se zdrojem, základní deska se vstupy a výstupy Požár, Porucha, výstupy na sirénu dle EN 54, indikační jednotka a volné pozice pro 2 kruhové smyčky; na 1 smyčku lze připojit ",21999,26619,https://www.stasanet.cz/out/pictures/master/1/BE039CB8-D05D-4C1E-99B9-E57DA30C8CA0__detect_3004_plus_1.jpg,Ústředny | Adresovatelné systémy | EPS Požární ochrana
2N TELEKOMUNIKACE,9152101W,"Nouzový IP interkom, robustní konstrukce, antivandal, výrazná oranžová barva, verze 1 tlačítko + 10W reproduktor",19314,23370,https://www.stasanet.cz/out/pictures/master/1/DAF65314-8E5C-4097-AC53-1E1EBA600ECC__2n-helios-ip-safety_1-tlacitko-10w-reproduktor.jpg,IP Safety | Helios IP FORCE | 2N Interkomy | Domovní telefony
