manufacturer,shortTitle,shortDescription,nettoprice,bruttoprice,images,category
HikVision,DS-2TD2166T-25,"termometrická IP kamera s 25mm obj., PoE+, Audio/2x Alarm IN/OUT",123179,149047,https://www.stasanet.cz/out/pictures/master/1/2ABCBBBB-9AB7-4668-946F-90895E50A2BD__DS-2TD2136.jpg,Termokamery | IP Hikvision | IP kamerové systémy | Kamerové systémy
MAZi Security Systems GmbH,IW-D100,"Stěnový držák pro dome kamery umožňující skrytou montáž kabelů, průměr 110mm, hliníková slitina, lakovaný povrch, bílá barva, nosnost 4.5kg",465,563,https://www.stasanet.cz/out/pictures/master/1/B88EA87C-E69A-423F-B439-2686B70FFC1D__IW-D100.jpg,Příslušenství | HD TVI MAZi (Turbo HD+) | HD Analogové systémy | Kamerové systémy
HikVision,DS-2CE56C0T-VFIR3F,"1MPix venkovní DOME kamera 4V1-TVI/CVI/AHD/CVBS; ICR + IR + objektiv 2,8-12mm",1288,1558,https://www.stasanet.cz/out/pictures/master/1/69126323-71F8-4056-B8C1-A8A0BA748CF2__DS-2CE56D1T-VFIR3.jpg,Dome kamery | 1.3 Mpx kamery | HD TVI Hikvision (Turbo HD) | HD Analogové systémy | Kamerové systémy
HikVision,DS-7732NI-I4/16P,"32 kan. 4K NVR s HDMI+16xPoE (256Mb/256Mb); 1,5U",20240,24490,https://www.stasanet.cz/out/pictures/master/1/EC585457-5F71-4844-8DC1-DFF4952758B0__DS-77xxNI-I4.jpg,32-kanálové | Záznamová zařízení | IP Hikvision | IP kamerové systémy | Kamerové systémy
HikVision,DS-1272ZJ-110,"Stěnový držák pro dome kamery umožňující skrytou montáž kabelů, průměr 110mm, hliníková slitina, lakovaný povrch, bílá barva, nosnost 4.5kg",460,557,https://www.stasanet.cz/out/pictures/master/1/868D9A59-3531-4A92-A62F-D7F94AF43DBB__DS-1272ZJ.jpg,Nástěnné držáky | Příslušenství | IP Hikvision | IP kamerové systémy | Kamerové systémy
Paradox,NV35MR,"Venkovní/vnitřní bezdrátové PIR s charakteristikou záclona + PIR ANTIMASKING, PET imunita, stavitelná citlivost PIR, instalace 2 m, dosah 10 x 2 m, odběr 19 mA, krytí IP54, -35 až 50°C",2339,2830,https://www.stasanet.cz/out/pictures/master/1/38051CB9-FEA6-4578-B930-1E6A1B6B9A52__NV35M.jpg,Bezdrátové prvky MG | Systémy SPECTRA/ MAGELLAN | EZS Paradox a ostatní
VAR-TEC,VD 24-100m,"VD stíněný kabel typu „drát“, 2 žíly průměr 0,8 mm + 4 žíly 0,5 mm, pro slaboproudé rozvody EZS v balení po 100m délky.",1320,1597,https://www.stasanet.cz/out/pictures/master/1/938260AF-D38D-4BCE-92BD-E8A290E78769__VD-24-100m.jpg,typ drát | Kabely | EZS Paradox a ostatní
,UTC ovladač,Ovladač pro nastavení EKO kamer. Snadné nastavení parametrů kamery přes OSD menu. Komunikace po koaxiálním kabelu.,99,120,https://www.stasanet.cz/out/pictures/master/1/C0FE81F4-925F-4720-B410-01124725E158__ovladac_dalkovy-utc.jpg,Kompaktní kamery s IR
,4FF 692 34,Stříška pro montáž nad omítku GUARD 4 moduly,525,635,https://www.stasanet.cz/out/pictures/master/1/E79B2406-01BF-417B-8899-CEBB915EE0FD__4FF-692-34.jpg,Stříšky pro montáž nad omítku GUARD | Dveřní stanice GUARD | Digitální  audiosystém (2-BUS) | Tesla Stropkov | Domovní telefony
Axxonsoft,NEXT UNI - analýza,"Licence pro offline analýzu - software Axxon NEXT UNIVERSE, umožňuje využívání analytických funkcí MomentQuest",43900,53119,https://www.stasanet.cz/out/pictures/master/1/2E1DFC05-D2BC-4754-B601-8D3774E23D18__next_unverse_licence_offline-analyza.jpg,SW pro IP kamery | IP kamerové systémy | Kamerové systémy
LAN-TEC,PP-110 12PCB-SB/C5E,"10"" patch panel do rozvaděče s 12porty CAT 5e, horní osazování, zářezové svorkovnice typu IDC110, samozařezávací víčka",499,604,https://www.stasanet.cz/out/pictures/master/1/42779EF0-5EA9-475F-8B7B-F4A8B6CFA0FC__PP-110-12PCB-SB-C5E.jpg,Nástěnné LAN-TEC | Datové rozvaděče | SKS Strukturovaná kabeláž
HikVision,DS-2CD4B23FWD-IZS,"2 Mpx Ultra Low-light IP kamera 25sn./s. s ICR; WDR; PoE, Darkfighter",11707,14165,https://www.stasanet.cz/out/pictures/master/1/5BC683F9-A12C-4D3E-92E5-D1BC3DEC1118__DS-2CD4AxxFWD-IZ.jpg,Kamery DarkFighter | IP Hikvision | IP kamerové systémy | Kamerové systémy
Paradox,REM2-433/868,"Jako REM-1, navíc možnost dálkově zjistit stav ústředny na dotaz tlačítkem INFO.",1285,1555,https://www.stasanet.cz/out/pictures/master/1/6E2A4F66-BFFF-41C3-8818-7CDFA7021DD9__REM2.jpg,Bezdrátové prvky MG | Systémy SPECTRA/ MAGELLAN | EZS Paradox a ostatní
,4FF 060 18.1/S,Montážní deska tlačítkového tabla TT85 1 modul,420,508,https://www.stasanet.cz/out/pictures/master/1/37FEBAB2-B27D-4F0C-AEFF-1DB3C08ACC1B__4FA-691-79.1.jpg,Moduly tlačítkových tabel TT 85 | Dveřní stanice TT85 | Analogový audiosystém (4+n) | Tesla Stropkov | Domovní telefony
,4FF 090 92.1,Krabice KARAT horizontální nad omítku HNO 2 rám,480,581,https://www.stasanet.cz/out/pictures/master/1/EDB1B5C8-BD1D-4239-B21D-03B3693F4333__4FF-090-92.1.jpg,Krabice nad omítku (bez stříšky) KARAT | Dveřní stanice KARAT-ANTIKA barva měděná | Digitální  audiosystém (2-BUS) | Tesla Stropkov | Domovní telefony
HikVision,DS-2CD2743G0-IZS,"4MPix IP venkovní DOME kamera; H265+;WDR+ICR+EXIR+Alarm+Audio+motor. obj.2,8-12mm",7659,9267,https://www.stasanet.cz/out/pictures/master/1/C6B60E7A-0E86-411C-9E25-BFD29CD13297__DS-2CD27x5FWD-IZS.jpg,4 Mpx | Kamery 2-Line | IP Hikvision | IP kamerové systémy | Kamerové systémy
LAN-TEC,SA.0020.011,"19""vyvazovací kovový panel, 1U",199,241,https://www.stasanet.cz/out/pictures/master/1/11886E01-1255-4538-B609-E664C69FB306__SA.0020.011.jpg,Příslušenství LAN-TEC | Datové rozvaděče | SKS Strukturovaná kabeláž
HikVision,Hik-ACS-1Door,Rozšiřující licence o jedny dveře,1035,1252,https://www.stasanet.cz/out/pictures/master/1/09811368-2ECC-45DE-ADF1-352F3F3DC35E__HikCentral.jpg,Software | Příslušenství | IP Hikvision | IP kamerové systémy | Kamerové systémy
2N TELEKOMUNIKACE,9155022,Dvoumodulový montážní rámeček pro povrchovou instalaci základních a rozšiřujících modulů 2N Helios IP Verso,1486,1798,https://www.stasanet.cz/out/pictures/master/1/BB79DB4A-6A24-4B85-8324-1E5109D1C30B__2n-helios-ip-verso-ram-povrch-2-moduly.jpg,Montážní prvky | Helios IP Verso | 2N Interkomy | Domovní telefony
ASSA ABLOY,FAB ENTR / 31+45,"Cylindrická vložka pro zámek FAB ENTR, certifikace pro 4. bezpečnostní třídu, vč. 5 klíčů a bezpečnostní karty, rozměry 31+45",1790,2166,https://www.stasanet.cz/out/pictures/master/1/303F676C-04E3-4CEF-92CF-FF5923B9D318__FAB-ENTR_vlozka.jpg,Motorické zámky | Uzamykací systémy
2N TELEKOMUNIKACE,Katalog 2N,"Kompletní přehled IP interkomových, přístupových a audio systémů, produktová řada 2N Helios IP, zobrazovací jednotky, příslušenství, formát A4",1,1,https://www.stasanet.cz/out/pictures/master/1/BB43A336-DBC6-40B7-83C1-91B8052118BB__katalog_2n.jpg,Letáky a katalogy | Marketing
JABLOTRON ALARMS a.s.,PC-14-RE,Univerzální přístupový čip k systémům Jablotron ve tvaru přívěsku na klíče. Norma EM unique (EM4100),95,115,https://www.stasanet.cz/out/pictures/master/1/A6C3384F-B0FB-4E44-A71D-B8D5BE472F3B__PC-14-RE.jpg,Dálková ovládání | Bezdrátové prvky | JABLOTRON 100 | EZS Alarmy Jablotron
JOB-Detecomat,CT 3000OT-EZS,"Optickokouřové a tepelné čidlo série 3000, 2 optické komory, citlivost 0,15dB/m, 60° max., termodiferenciální určeno pro EZS.",1415,1712,https://www.stasanet.cz/out/pictures/master/1/9046598C-7661-4539-AB3E-675296A30CF8__ct3000ot.jpg,"Systémové pro EZS | Detektory požární, cigaret a plynů | Vnitřní detekce | EZS Paradox a ostatní"
Sorhea,30620700,"radiový příjimač pro příjem signálu ze systému SOLARIS, komunikace po RS-485 (max. 1200m) - spojeno s MAXIBUS III HUB, napájení 12VDC.",11700,14157,https://www.stasanet.cz/out/pictures/master/1/288B086D-7BE4-4A35-A91D-5BD9C0EB6B88__30620700.jpg,Infrabariéry | Venkovní detekce | EZS Paradox a ostatní
JABLOTRON ALARMS a.s.,SD-503ST,Výrobek slouží k detekci požárního nebezpečí v interiéru obytných nebo komerčních budov. Detektor je vhodný i pro instalaci v autokaravanech nebo mobilních domech. Není určen pro instalaci do průmyslového prostředí.,664,803,https://www.stasanet.cz/out/pictures/master/1/C24D1E0E-95BB-42FB-9493-92C3EB866E9A__JA85ST.jpg,Detektory | Drátové prvky příslušenství | EZS Alarmy Jablotron
HikVision,DS-2CE56D8T-IT3Z,"2 Mpx venkovní motor-zoom dome HD TVI kamera, rozlišení Full HD 1920×1080@30fps, objektiv f2.8-12mm, EXIR IR 40m, WDR, DNR, ICR, UTC, IP67",2185,2644,https://www.stasanet.cz/out/pictures/master/1/C40EA5D6-4A6F-4C2E-8286-BF6A3B2875EF__DS-2CE56F7T-IT3Z.jpg,Motor-Zoom kamery | 2 Mpx kamery | HD TVI Hikvision (Turbo HD) | HD Analogové systémy | Kamerové systémy
ASSA ABLOY,286314000013320,"286314000013320, PR2E00-28-0A OTOCNA KLIKA STRI",3090,3739,https://www.stasanet.cz/out/pictures/master/1/156EFF4F-0B7F-42B1-A8AC-CF58642F0AEC__PR2E00-28-0A.jpg,Panikové hrazdy | Uzamykací systémy
JABLOTRON ALARMS a.s.,SAM-253.10,Inverzní výstražná samolepka ALARM 80x50mm,4,5,https://www.stasanet.cz/out/pictures/master/1/7790ED5B-0F1E-43A7-B211-D8201EBFAF9E__SAM-253-10.jpg,Instalační příslušenství | EZS Alarmy Jablotron
S-Entry,EB70,"Bezdotykové IR odchodové tlačítko s NO/NC kontaktem. Pro funkci vyžaduje napájení, při přiblížení dlaně je aktivováno relé. Modul je barevně podsvícen pro lepší orientaci ve tmě. Nerezové provedení.",499,604,https://www.stasanet.cz/out/pictures/master/1/0B1DD688-2D86-488C-8BE3-0912479B2878__eb70_1.jpg,Tlačítka | ACS Přístupové systémy
HikVision,DS-2CC12D9T-IT3E/28,"3 Mpx venkovní kompaktní Turbo HD (TVI) kamera, rozlišení 1920×1536@18fps, objektiv f2.8mm, EXIR IR 40m, WDR (120dB), ICR, UTC, IP66",3312,4008,https://www.stasanet.cz/out/pictures/master/1/A94BDAFE-7231-4EE3-BF37-D0BA2C05C069__DS-2CE16FxT-ITx.jpg,Kamery Starlight+ | HD TVI Hikvision (Turbo HD) | HD Analogové systémy | Kamerové systémy
HikVision,DS-2TD2166-35,"IP termo kamera s 35mm obj., PoE+, Audio/2x Alarm IN/OUT",118170,142986,https://www.stasanet.cz/out/pictures/master/1/98DDAEF7-BA9C-47A4-8699-88190951C5BF__DS-2TD2136.jpg,Termokamery | IP Hikvision | IP kamerové systémy | Kamerové systémy
LAN-TEC,KJ-100,Plastový držák pro různé typy keystonů s možností instalace na DIN lištu,65,79,https://www.stasanet.cz/out/pictures/master/1/30AB742A-DEB4-4666-8F3D-7AF6336BAF6B__KJ-100.jpg,Keystony | Metalická kabeláž | SKS Strukturovaná kabeláž
DoorBird,D203,"1 Mpx nerezová venkovní dveřní 1-tlačítková IP kamerová jednotka, rozlišení 1280×720@30fps, IR 8m, WiFi, PIR, podpora PoE napájení, IP54",18950,22930,https://www.stasanet.cz/out/pictures/master/1/4E6E41BB-3273-4612-831F-041F23D981FD__D203.jpg,DoorBird - pro chytrý telefon | Domovní telefony
LAN-TEC,PP-024 8PCB-SA/C5E,"Samostatný 8 portový, stíněný patch panel CAT 5e pro montáž na zeď, bez použití datového rozvaděče",399,483,https://www.stasanet.cz/out/pictures/master/1/312FBA67-4580-4E69-B651-204252318A23__PP-024-8PCB-SA-C5E.jpg,Patch panely | Metalická kabeláž | SKS Strukturovaná kabeláž
Uniview,NVR201-04EP,"NVR pro 4 IP kamery s max. rozlišením 4Mpx, šířka pásma 40/96 Mbps, 4× PoE napájení, 1× SATA (max. 6TB), audio I/O, HDMI, VGA, USB 2.0 + USB 3.0",3132,3790,https://www.stasanet.cz/out/pictures/master/1/7A35ADFC-DE0F-43F5-95CB-840A34BAF4A8__NVR20x.jpg,4-kanálové | Záznamová zařízení Uniview | IP Uniview | IP kamerové systémy | Kamerové systémy
,MET-55T,"Čtyřdrátový magnetický kontakt v masivním provedení, určený pro povrchovou montáž na velká vrata a průmyslové použití s většími rozměry. Drátové vývody v pancéřové chráničce, možnost přejezdu autem, součástí balení je montážní držák.",407,492,https://www.stasanet.cz/out/pictures/master/1/20F43908-A787-4F98-ABD3-D43E0D2E3760__met-55t.jpg,Magnetické kontakty | Vnitřní detekce | EZS Paradox a ostatní
JABLOTRON ALARMS a.s.,JA-151ST-A,"Bezdrátový kombinovaný detektor kouře a teplot, optická signalizace, integrovaná siréna, hlášení poplachu i z ostatních detektorů v systému",1920,2323,https://www.stasanet.cz/out/pictures/master/1/EBBF9F33-4540-45D4-8B8A-6D2A62FD2DB8__JA-111ST-A.jpg,Detektory | Bezdrátové prvky | JABLOTRON 100 | EZS Alarmy Jablotron
Paradox,NEWARE IP SECURITY,"Software pro uživatelskou správu ústředen DIGIPLEX EVO, bez možnosti přístupu.",3595,4350,https://www.stasanet.cz/out/pictures/master/1/D8BF91B2-4F5E-4C8F-88A2-EBF142463C9F__NEWARE-IP-SECURITY.jpg,Software a programování | Systém DIGIPLEX EVO | EZS Paradox a ostatní
LAN-TEC,SA.0020.001,"19""vyvazovací panel, plastový, 1U",199,241,https://www.stasanet.cz/out/pictures/master/1/9AF26BFC-1E27-4307-9A1D-7B9473560E9B__SA.0020.001.jpg,Příslušenství LAN-TEC | Datové rozvaděče | SKS Strukturovaná kabeláž
,4FP 211 02.212,DT ELEGANT s 1 tl. na EZ + 1 tl. na protistanici - elektronic. vyzvánění (212),340,411,https://www.stasanet.cz/out/pictures/master/1/B653EFDF-5DC4-4102-94DA-2E67EE559E5E__4FP-211-02.212.jpg,Domácí telefony (4+n) | Analogový audiosystém (4+n) | Tesla Stropkov | Domovní telefony
JABLOTRON ALARMS a.s.,JA-112E,JA-112E je přístupový modul s RFID čtečkou karet pro ovládání zabezpečovacího systému JA-100.,1148,1389,https://www.stasanet.cz/out/pictures/master/1/F975B1D4-B318-4F71-A7F7-6B85DBBEE1F1__ja112e.jpg,Přístupové moduly | Sběrnicové prvky | JABLOTRON 100 | EZS Alarmy Jablotron
Stakohome Network,PATCH02-06,Pro 6 modulů keystone. Uchycení na DIN lištu nebo rovný podklad. Patch panely jsou vhodné např. do rozvaděčů v bytové výstavbě.,359,434,https://www.stasanet.cz/out/pictures/master/1/FDA34418-8C87-4799-BED2-941717BE2B7D__patch_02_06.jpg,Patch panely | Metalická kabeláž | SKS Strukturovaná kabeláž
Paradox,PMD2P-433/868,"Bezdrátový analogový infrapasivní detektor, odolný vůči zvířatům do 18kg. Detektor obsahuje LED indikaci poplach/vysílání/slabá baterie a tato informace je přenášena do přijímače a následně do ústředny.",1559,1886,https://www.stasanet.cz/out/pictures/master/1/B345E99D-07EA-4C1A-99D0-407261B77DF6__PMD1P.jpg,Bezdrátové prvky MG | Systémy SPECTRA/ MAGELLAN | EZS Paradox a ostatní
MAZi Security Systems GmbH,HSVR-08LT,"8(+2)-kanálové hybridní DVR pro AHD/TVI/CVI/CVBS/IP kamery, záznam až 4 Mpx, 1×SATA (až 6TB), audio I/O, RS-485, HDMI, H.265+",3772,4564,https://www.stasanet.cz/out/pictures/master/1/5F2851E0-AD56-4BF9-8093-F3FA7A65D7E6__HSVR-04HT.jpg,8 kanálové | Záznamová zařízení | HD TVI MAZi (Turbo HD+) | HD Analogové systémy | Kamerové systémy
Commax,CMP-2BC,"Dveřní stanice s kamerou pro systém MODUM, přímá volba 16 uživatelů, skrytý kamerový modul (Pinhole), zápustná instalace, napájení 12VDC",6590,7974,https://www.stasanet.cz/out/pictures/master/1/478603E7-17A1-45CB-8C87-EE0308487302__CMP-2BC.jpg,Dveřní stanice | MODUM systém | Videotelefony COMMAX - design | Domovní telefony
,GL-8020,"Venkovní kamerový kryt, 70x70mm, s vyhříváním 12VDC, kov, béžová barva, s držákem BR-8118 (s průchozí nohou)",890,1077,https://www.stasanet.cz/out/pictures/master/1/D6A10F40-99A7-4857-968D-44EF5B8E41DB__GL-8020.jpg,Kryty a držáky | Příslušenství | Kamerové systémy
Paradox,EVO HD,"Ústředna zabezpečovacího a přístupového systému PARADOX INSIGHT, 8 (16ATZ) zón na PCB rozšiřitelné na 192 zón, 8 nezávislých podsystémů, 999 uživatelů, možno připojit až 254 modulů, 4 PGM + 1 relé na PCB, 2.5A zdroj. Evidence přístupu do 32 dveří, paměť 2",3555,4302,https://www.stasanet.cz/out/pictures/master/1/2C1B130F-BEF5-4950-9EA3-28FE97D7FE41__evo-hd.jpg,Ústředny | Systém DIGIPLEX EVO | EZS Paradox a ostatní
HikVision,DS-2CE16H0T-AIT3ZF,"5 Mpx kamera TurboHD; EXIR 40m; IP67; motor. obj. 2,7-13,5mm",2369,2866,https://www.stasanet.cz/out/pictures/master/1/62DDA664-B11E-4FC8-90C2-278058C0D471__DS-2CE16H0T-AIT3ZF.jpg,Motor-Zoom kamery | 5 Mpx kamery Low lux | HD TVI Hikvision (Turbo HD) | HD Analogové systémy | Kamerové systémy
JOB-Detecomat,SQ-32 - bílá,"samostatná nízká siréna na napětí 18 - 28 V/35 mA, 32 tónů manuálně nastavitelných, 111 dB, krytí IP21",869,1051,https://www.stasanet.cz/out/pictures/master/1/5BA097D4-72C9-480E-BD5B-37BDF8E34249__sq-32_bila_1.jpg,Signalizace | Konvenční prvky | EPS Požární ochrana
Commax,CDV-70N,"Barevný sluchátkový videotelefon s 7'' displejem s LED podsvícením, dotyková tlačítka, 1 dveřní stanice, 2 domácí telefony DP-4VHP, modrá barva",3290,3981,https://www.stasanet.cz/out/pictures/master/1/1626C4FC-7FDA-4CF0-9710-8ED7EC5F93CA__CDV-70N.jpg,Videotelefony | Videotelefony COMMAX - design | Domovní telefony
HikVision,DS-2CE16U1T-IT5F/36,"8 Mpx kamera TurboHD; 4v1; DWDR+EXIR do 80m; IP67; obj. 3,6mm",2116,2560,https://www.stasanet.cz/out/pictures/master/1/26DE30F2-CFFE-4F52-B89B-3F7C08AC8936__DS-2CE16U1T-IT3F.jpg,Kamery 4 v 1 | 8 Mpx kamery | HD TVI Hikvision (Turbo HD) | HD Analogové systémy | Kamerové systémy
HikVision,DS-1602ZJ-BOX-CORNER,konzole na roh pro PTZ kamery,2645,3200,https://www.stasanet.cz/out/pictures/master/1/22C4AB6A-5166-452C-9FEF-D99CFB1DC064__DS-1602ZJ-BOX-CORNER.jpg,Nástěnné držáky | Příslušenství | IP Hikvision | IP kamerové systémy | Kamerové systémy
CCTV,Samolepka CCTV inver,"Samolepka výstražná CCTV, nálepka je v plném barevném provedení na plastové podložce a v dobré kvalitě. Inverzní - na vniřní stranu dveří.",45,54,https://www.stasanet.cz/out/pictures/master/1/FB4F7D6C-FD4F-4124-A279-E84FEFCAABBB__samolepka_cctv.jpg,Výstražné samolepky | Příslušenství | Kamerové systémy
MAZi Security Systems GmbH,PM07-800,"Barevný 7"" (8.9cm) handsfree IP videotelefon, rozlišení LCD 800×480, vnitřní paměť 256MB, alarm I/O, RS-485, podpora PoE napájení",2555,3092,https://www.stasanet.cz/out/pictures/master/1/7396C891-6942-4556-9C00-9A9A8E87C859__PM07-800.jpg,IP videotelefony
Commax,CDV-70M bílý/DRC-40K,"Sada designového 7"" handsfree videotelefonu a kovové dveřní stanice, dotyková tlačítka, až 2 dveřní stanice, až 2 domácí telefony DP-4VHP",6280,7599,https://www.stasanet.cz/out/pictures/master/1/65475627-B663-4E13-8E06-02B5811CF622__CDV-70M_white_DRC-40K.jpg,Sady videotelefonů - standardní | Videotelefony COMMAX - design | Domovní telefony
,KAC-40P,skříňka pro akumulátor 12V 26 až 45 Ah,550,666,https://www.stasanet.cz/out/pictures/master/1/C57C819A-10C5-4C9B-8F61-A34038B1332E__KAC-40P.jpg,Příslušenství alarmů | Drátové prvky příslušenství | EZS Alarmy Jablotron
ACI Farfisa,DM2444,Umožňuje připojení až čtyř dveřních stanic do jednoho systému,3340,4041,https://www.stasanet.cz/out/pictures/master/1/F2E11519-278C-4AD2-9811-165108B80A4F__DM2444.jpg,Zdroje a moduly | Digitální systém DUO | Videotelefony Farfisa - modularita | Domovní telefony
ASSA ABLOY,PBE011-EL460-51,"EL002380, DIN paniková hrazda - provedení AluSilver + Active Coating",8200,9922,https://www.stasanet.cz/out/pictures/master/1/8FCC2901-AC01-4E7B-A101-404913F05B1A__PBE011-EL460-51.jpg,Panikové hrazdy | Uzamykací systémy
ASSA ABLOY,286313003000820,"286313003000820, S91000-02-0A PRODL.PRVKY-CERNE",1690,2045,,Panikové hrazdy | Uzamykací systémy
HikVision,DS-2CD4A25FWD-IZ/28,Ultra-low light IP kamera 50sn./s. 2MPix s ICR; WDR; PoE; f2.8-12mm,12880,15585,https://www.stasanet.cz/out/pictures/master/1/6053A4A4-6D68-4480-91D3-3B87F0F255F4__DS-2CD4AxxFWD-IZ.jpg,Kamery LightFighter | IP Hikvision | IP kamerové systémy | Kamerové systémy
RX Corp.,RX-PSE908FR,"9/8 PoE switch, 8x PoE port (100Mbit / max. 15.4W na port), 1x Up/Link port (Gigabit), maximální zatížitelnost PoE 150W",2650,3207,https://www.stasanet.cz/out/pictures/master/1/18A8561B-C03A-4585-A0AF-CBABF7675447__RX-PSE908FR.jpg,"Switche, PoE injectory | Příslušenství | Kamerové systémy"
HikVision,DS-2CD2523G0-IS/28,"2 Mpx IP venkovní DOME kamera; H265+;WDR+ICR+EXIR+obj.2,8mm; Alarm&Audio",4715,5705,https://www.stasanet.cz/out/pictures/master/1/C40AED85-B028-4AAB-A164-C368F3426A9F__DS-2CD25x5.jpg,2 Mpx | Kamery 2-Line | IP Hikvision | IP kamerové systémy | Kamerové systémy
ASSA ABLOY,EL002479,"EL002479, Klika: INOXI 3-19/0751 nerez",1985,2402,https://www.stasanet.cz/out/pictures/master/1/820967DF-D7B9-4D1A-B227-ABC221ABC465__INOXI_3-19-0751.jpg,Panikové hrazdy | Uzamykací systémy
2N TELEKOMUNIKACE,9137160CKDU,Helios IP Vario je dveřní interkom pro provoz v IP prostředí za pomoci protokolu SIP. Verze 3x2 tlačítka + kamera + klávesnice + displej,31237,37797,https://www.stasanet.cz/out/pictures/master/1/E7637261-2339-4410-9E2B-2C0904108D44__2n-helios-ip-vario_3x2-tlacitka-kamera-klavesnice-displej.jpg,IP s displejem | Helios IP Vario | 2N Interkomy | Domovní telefony
,POE-EXT-1212-BOX,"PoE extraktor pro napájení dvou nezávislých zařízení - jednoho z PoE a druhého z 12VDC/1A, PoE Plus, přepěťová ochrana",2350,2844,https://www.stasanet.cz/out/pictures/master/1/A715B5DF-C3D5-4715-B734-F075F429BB05__POE-EXT-1212-BOX.jpg,PoE napájení | IP Hikvision | IP kamerové systémy | Kamerové systémy
,Ministativ,"Ministatit pro kamery, vhodný pro prezentace kamer",210,254,https://www.stasanet.cz/out/pictures/master/1/4886C3CE-1D55-4D56-8C66-09C1C53DEF1D__big-BK-Tripod.jpg,Kryty a držáky | Příslušenství | Kamerové systémy
,4FN 230 84/F.1,Modul 4 tlač. TT KARAT 4+n se 4 jmenovkami,695,841,https://www.stasanet.cz/out/pictures/master/1/EAB08722-C444-47A2-A2DA-D9609BBC9FCE__4FN-230-84-F.1.jpg,Moduly | Dveřní stanice KARAT-ANTIKA  barva měděná | Analogový audiosystém (4+n) | Tesla Stropkov | Domovní telefony
LuxRiot,Luxriot Professional,"Software umožňující záznam a sledování 9 kamer nebo webserverů , možnost trvalého nahrávání/ detekce pohybu, podpora pro ovládání PTZ kamer, možnost vzdáleného připojení po sítí pro 3 uživatele přes software, každá kamera je nezávisle  konfigurovatelná, h",12450,15065,https://www.stasanet.cz/out/pictures/master/1/0915470B-A39A-4F40-A7B0-3729E32B636E__Luxriot-box.jpg,SW pro IP kamery | IP kamerové systémy | Kamerové systémy
Axxonsoft,NEXT START - kamera,Licence pro kameru - software Axxon NEXT START,625,756,https://www.stasanet.cz/out/pictures/master/1/683D48AF-094C-4EEB-B2E8-B5236961BA57__next_start_licence_kamera.jpg,SW pro IP kamery | IP kamerové systémy | Kamerové systémy
CCTV,Dvojlinka 2x0.75mm,"Dvojlinka s vodičem 2× 0.75mm², ekonomické provedení, nestíněná, vnitřní vodič z mědí plátovaného hliníku (CCA), plášt z PVC,  balení 100m",780,944,https://www.stasanet.cz/out/pictures/master/1/7EA4F2F8-CB85-4254-B94B-88864CA6EA3A__kabel_dvojlinka-075_eco.jpg,"Kabely | Kabely, konektory | Příslušenství | Kamerové systémy"
HikVision,DS-2CE16D8T-IT3/36,"2MPix venkovní kamera TurboHD; ICR + EXIR + obj. 3,6mm",1288,1558,https://www.stasanet.cz/out/pictures/master/1/311011BD-79C4-455B-A31E-7A3D233BFF6D__DS-2CE16FxT-ITx.jpg,Kompaktní kamery | 2 Mpx kamery Low lux | HD TVI Hikvision (Turbo HD) | HD Analogové systémy | Kamerové systémy
2N TELEKOMUNIKACE,9137131U,Helios IP Vario je dveřní interkom pro provoz v IP prostředí za pomoci protokolu SIP. Verze 3x1 tlačítko,11774,14247,https://www.stasanet.cz/out/pictures/master/1/C08FD135-AD13-497D-A3B8-8BC5554C045E__2n-helios-ip-vario_3x1-tlacitko.jpg,IP bez kamery | Helios IP Vario | 2N Interkomy | Domovní telefony
HikVision,DS-7604NI-Q1,4-kanálový NVR pro IP kamery (40Mb/80Mb),2484,3006,https://www.stasanet.cz/out/pictures/master/1/5352B3F9-6E2C-4BF1-B3AD-EB95C2226CD3__DS-76xxNI-E1.jpg,4-kanálové | Záznamová zařízení | IP Hikvision | IP kamerové systémy | Kamerové systémy
Commax,RF-1A,"Stejnosměrný stabilizovaný napájecí zdroj určený pro napájení kamerových jednotek a audiosluchátek, výstupní napětí 12 V DC, proud max. 1 A",510,617,https://www.stasanet.cz/out/pictures/master/1/6B72E809-9162-4A1D-B785-DE7E03ACD725__RF-1A.jpg,Externí zdroje | Videotelefony COMMAX - design | Domovní telefony
HikVision,DS-2CE56F1T-ITM/36,"3 Mpx venkovní dome Turbo HD (TVI) kamera, rozlišení 1920×1536@18fps, objektiv f3.6mm, EXIR IR 20m, ICR, AGC, OSD, UTC, IP66",1710,2069,https://www.stasanet.cz/out/pictures/master/1/81F42DCC-1BCC-4F37-821B-D4BC261D9E5B__DS-2CE56FxT-ITM.jpg,Dome kamery | 3 Mpx kamery | HD TVI Hikvision (Turbo HD) | HD Analogové systémy | Kamerové systémy
Sview,VB2460WWA-BKT,"2 Mpx venkovní kompaktní motor-zoom kamera typu 4in1, podpora HD TVI / AHD / HD-CVI / CVBS, f2.8-12mm (Auto Focus), IR 60m, D-WDR",2450,2965,https://www.stasanet.cz/out/pictures/master/1/45703CD3-0E60-4B21-9FC6-F3DB6618E16D__VBxx60WW-BKT_opened.jpg,Motor Zoom kamery | HD kamery 4 v 1 | HD Analogové systémy | Kamerové systémy
